"INTERSECTION","FIRST APPROACH","SECOND APPROACH","THIRD APPROACH","GO LIVE DATE","LATITUDE","LONGITUDE","LOCATION"
"3200 West 63rd St","WB",,,"11/25/2007","41.77903","-87.70277","(41.77903, -87.70277)"
"800 West 111th St","WB",,,"12/31/2005","41.69254","-87.64193","(41.69254, -87.64193)"
"3100 S Dr Martin L King","NB",,,"06/20/2008","41.83813","-87.61723","(41.83813, -87.61723)"
"4800 N Pulaski Road","SB",,,"07/29/2008","41.96852","-87.72811","(41.96852, -87.72811)"
"6300 South Damen Avenue","SB",,,"05/30/2008","41.77954","-87.67397","(41.77954, -87.67397)"
"4400 W. Roosevelt","EB",,,"03/17/2004","41.86595","-87.73539","(41.86595, -87.73539)"
"7200 North Western Avenue","SB",,,"10/20/2008","42.0126","-87.69031","(42.0126, -87.69031)"
"2200 S. Pulaski","SB",,,"10/09/2004","41.85195","-87.72489","(41.85195, -87.72489)"
"100 West Chicago Avenue","EB",,,"10/20/2010","41.89667","-87.63101","(41.89667, -87.63101)"
"2400 North Pulaski Rd","NB",,,"05/17/2007","41.92416","-87.72677","(41.92416, -87.72677)"
"2400 West Chicago Ave","EB",,,"05/06/2007","41.8957","-87.68737","(41.8957, -87.68737)"
"1 North Halsted Street","SB",,,"06/13/2008","41.88207","-87.64748","(41.88207, -87.64748)"
"5200 North Sheridan Road","SB",,,"01/24/2008","41.97666","-87.65504","(41.97666, -87.65504)"
"300 North Hamlin Avenue","NB",,,"05/29/2008","41.88494","-87.72081","(41.88494, -87.72081)"
"1000 West Hollywood Ave","WB",,,"10/17/2007","41.98561","-87.65477","(41.98561, -87.65477)"
"4700 West Irving Park Road","WB",,,"10/20/2008","41.95356","-87.74428","(41.95356, -87.74428)"
"6300 South Damen Avenue","NB",,,"05/30/2008","41.77903","-87.67381","(41.77903, -87.67381)"
"2400 West Van Buren Street","WB",,,"05/28/2008","41.87617","-87.68575","(41.87617, -87.68575)"
"2400 W. Madison","WB",,,"05/31/2004","41.88125","-87.68591","(41.88125, -87.68591)"
"800 West Roosevelt Road","WB",,,"06/12/2008","41.86728","-87.64644","(41.86728, -87.64644)"
"6000 North California Avenue","NB",,,"06/27/2009","41.99013","-87.69936","(41.99013, -87.69936)"
"1200 North Ashland Avenue","NB",,,"10/23/2007","41.90305","-87.66736","(41.90305, -87.66736)"
"3400 West North Ave","EB",,,"10/04/2007","41.91002","-87.7121","(41.91002, -87.7121)"
"7600 South Stony Island Avenue","SB",,,"11/29/2008","41.75717","-87.58617","(41.75717, -87.58617)"
"3200 West 79th St","EB",,,"01/09/2006","41.74964","-87.70275","(41.74964, -87.70275)"
"2400 West Lawrence Avenue","EB",,,"07/30/2008","41.96856","-87.68937","(41.96856, -87.68937)"
"4000 West Irving Park Rd","WB",,,"05/18/2009","41.95372","-87.72724","(41.95372, -87.72724)"
"1000 West Hollywood Ave","EB",,,"10/16/2007","41.98548","-87.65564","(41.98548, -87.65564)"
"7432 West Touhy Avenue","WB",,,"10/20/2008","42.01161","-87.81185","(42.01161, -87.81185)"
"5500 South Wentworth Avenue","NB",,,"05/06/2008","41.79383","-87.63034","(41.79383, -87.63034)"
"3200 North Central Avenue","SB",,,"02/03/2009","41.93893","-87.76666","(41.93893, -87.76666)"
"4000 West Armitage Avenue","EB",,,"05/30/2008","41.91713","-87.72678","(41.91713, -87.72678)"
"4000 West 63rd St","EB",,,"03/30/2007","41.7786","-87.72325","(41.7786, -87.72325)"
"7100 South Cottage Grove Avenue","SB",,,"04/29/2008","41.76633","-87.60571","(41.76633, -87.60571)"
"4000 West Roosevelt Road","WB",,,"07/16/2009","41.86627","-87.72473","(41.86627, -87.72473)"
"5200 N. Nagle","NB",,,"10/12/2004","41.97543","-87.7877","(41.97543, -87.7877)"
"1600 N Pulaski Avenue","SB",,,"11/28/2008","41.90967","-87.72636","(41.90967, -87.72636)"
"5400 South Archer Ave","WB",,,"11/12/2007","41.79887","-87.74237","(41.79887, -87.74237)"
"150 North Sacramento Boulevard","SB",,,"10/19/2009","41.8844","-87.7014","(41.8844, -87.7014)"
"7900 South Western Ave","NB",,,"05/06/2007","41.74973","-87.6827","(41.74973, -87.6827)"
"7900 South Kedzie Ave","SB",,,"01/08/2006","41.75017","-87.70255","(41.75017, -87.70255)"
"4000 N Austin Avenue","NB",,,"06/28/2008","41.95277","-87.77671","(41.95277, -87.77671)"
"2800 West Irving Park Road","EB",,,"08/25/2008","41.95387","-87.69863","(41.95387, -87.69863)"
"1600 W. Madison","WB",,,"03/05/2004","41.88156","-87.6664","(41.88156, -87.6664)"
"200 West Garfield Blvd","WB",,,"05/06/2008","41.79446","-87.63011","(41.79446, -87.63011)"
"6700 South Stony Island Ave","NB",,,"11/24/2007","41.77319","-87.58617","(41.77319, -87.58617)"
"1600 West Division Street","EB",,,"10/23/2007","41.90332","-87.66781","(41.90332, -87.66781)"
"2400 W. Peterson","SB",,,"02/25/2004","41.99099","-87.68974","(41.99099, -87.68974)"
"7100 South Kedzie Avenue","SB",,,"09/16/2009","41.76468","-87.7029","(41.76468, -87.7029)"
"2400 North Halsted Street","NB",,,"08/29/2008","41.9251","-87.64868","(41.9251, -87.64868)"
"7500 South State Street","NB",,,"08/27/2009","41.75788","-87.62489","(41.75788, -87.62489)"
"7900 South Stony Island Ave","SB",,,"05/06/2007","41.75203","-87.5859","(41.75203, -87.5859)"
"4800 W North Avenue","EB",,,"05/30/2008","41.9095","-87.74644","(41.9095, -87.74644)"
"3800 West Madison Street","EB",,,"04/28/2009","41.88071","-87.72117","(41.88071, -87.72117)"
"2800 West Peterson Avenue","EB",,,"06/28/2009","41.99039","-87.69978","(41.99039, -87.69978)"
"2000 North Cicero Avenue","NB",,,"11/12/2008","41.91675","-87.74604","(41.91675, -87.74604)"
"1 South Halsted Street","NB",,,"06/12/2008","41.8815","-87.64725","(41.8815, -87.64725)"
"6000 N. Western Ave","WB",,,"02/24/2004","41.99057","-87.68892","(41.99057, -87.68892)"
"9500 South Halsted Street","SB",,,"04/29/2008","41.72211","-87.64359","(41.72211, -87.64359)"
"6300 South State St","SB",,,"01/16/2006","41.78026","-87.6254","(41.78026, -87.6254)"
"4800 West Fullerton Ave","WB",,,"02/24/2006","41.92431","-87.74588","(41.92431, -87.74588)"
"5600 W Irving Park Road","EB",,,"06/29/2008","41.95313","-87.76743","(41.95313, -87.76743)"
"5200 West Madison Street","EB",,,"05/10/2011","41.8805","-87.75465","(41.8805, -87.75465)"
"2400 North Western Avenue","SB",,,"06/28/2009","41.92524","-87.6878","(41.92524, -87.6878)"
"1200 West Foster Ave","EB",,,"10/17/2007","41.97626","-87.66029","(41.97626, -87.66029)"
"3600 North Central Avenue","SB",,,"11/13/2010","41.94606","-87.76672","(41.94606, -87.76672)"
"4800 West 47th St","WB",,,"03/30/2008","41.80774","-87.74265","(41.80774, -87.74265)"
"4000 W North Avenue","WB",,,"11/29/2008","41.9099","-87.726","(41.9099, -87.726)"
"2800 North Kimball Avenue","NB",,,"06/27/2009","41.93172","-87.71224","(41.93172, -87.71224)"
"4000 West 79th Street","WB",,,"09/16/2009","41.74961","-87.72139","(41.74961, -87.72139)"
"6000 W Irving Park Road","EB",,,"06/28/2008","41.95299","-87.77715","(41.95299, -87.77715)"
"1600 North Halsted Street","NB",,,"06/27/2009","41.91061","-87.6482","(41.91061, -87.6482)"
"2800 North California Ave","NB",,,"01/29/2006","41.93188","-87.69745","(41.93188, -87.69745)"
"6000 W Diversey Avenue","EB",,,"06/26/2008","41.93103","-87.77638","(41.93103, -87.77638)"
"7900 South State Street","NB",,,"06/24/2009","41.75069","-87.62512","(41.75069, -87.62512)"
"5600 West Lake Street","EB",,,"07/16/2009","41.88771","-87.76539","(41.88771, -87.76539)"
"6700 South Cornell Drive","NB",,,"11/25/2007","41.77311","-87.58586","(41.77311, -87.58586)"
"5500 S Western Ave","SB",,,"05/06/2008","41.79419","-87.68421","(41.79419, -87.68421)"
"7900 South Pulaski Road","SB",,,"09/15/2009","41.74985","-87.72204","(41.74985, -87.72204)"
"2000 West Fullerton Ave","EB",,,"02/16/2006","41.92494","-87.67859","(41.92494, -87.67859)"
"6400 North Milwaukee Avenue","SB",,,"02/26/2009","41.99763","-87.78822","(41.99763, -87.78822)"
"2800 North Pulaski Road","SB",,,"05/13/2009","41.93207","-87.72703","(41.93207, -87.72703)"
"800 W. DIVISION","WB",,,"04/06/2004","41.90368","-87.6477","(41.90368, -87.6477)"
"5200 North Pulaski Rd","SB",,,"10/17/2007","41.97583","-87.72831","(41.97583, -87.72831)"
"4800 North Cicero Ave","NB",,,"10/31/2004","41.9676","-87.74766","(41.9676, -87.74766)"
"3200 West 71st Street","WB",,,"09/16/2009","41.76445","-87.70238","(41.76445, -87.70238)"
"1600 W. 71st","WB",,,"10/10/2004","41.76495","-87.66336","(41.76495, -87.66336)"
"5600 West Chicago Avenue","EB",,,"05/27/2010","41.89479","-87.76558","(41.89479, -87.76558)"
"6000 W Diversey Avenue","WB",,,"06/27/2008","41.93119","-87.77562","(41.93119, -87.77562)"
"3100 South Kedzie Avenue","SB",,,"05/21/2008","41.83753","-87.70493","(41.83753, -87.70493)"
"4400 West Grand Ave","SB",,,"03/10/2004","41.9101","-87.73653","(41.9101, -87.73653)"
"1600 West 95th Street","EB",,,"06/25/2009","41.72109","-87.66314","(41.72109, -87.66314)"
"3400 West Diversey Avenue","EB",,,"06/28/2009","41.93192","-87.71264","(41.93192, -87.71264)"
"7432 West Touhy Avenue","EB",,,"10/19/2008","42.01151","-87.81262","(42.01151, -87.81262)"
"5200 West Irving Park Road","EB",,,"01/26/2010","41.95322","-87.75741","(41.95322, -87.75741)"
"4700 S. Western Avenue","SB",,,"11/28/2004","41.80873","-87.68457","(41.80873, -87.68457)"
"300 North Hamlin Avenue","SB",,,"05/30/2008","41.8855","-87.72103","(41.8855, -87.72103)"
"6400 W. Irving Pk","EB",,,"10/12/2004","41.95289","-87.78691","(41.95289, -87.78691)"
"2400 North Cicero Ave","SB",,,"02/23/2006","41.92458","-87.74644","(41.92458, -87.74644)"
"4000 West Fullerton Ave","WB",,,"05/18/2007","41.92461","-87.72642","(41.92461, -87.72642)"
"3600 North Cicero Avenue","SB",,,"11/29/2008","41.94636","-87.74715","(41.94636, -87.74715)"
"4000 West Chicago Avenue","EB",,,"02/19/2010","41.89532","-87.72632","(41.89532, -87.72632)"
"5200 North Western Ave","SB",,,"06/03/2007","41.97613","-87.68922","(41.97613, -87.68922)"
"4800 North Cicero Avenue","SB",,,"11/01/2004","41.96832","-87.74765","(41.96832, -87.74765)"
"5000 South Archer Ave","WB",,,"10/30/2007","41.80269","-87.72302","(41.80269, -87.72302)"
"2600 South Kedzie Avenue","NB",,,"10/31/2010","41.84408","-87.70494","(41.84408, -87.70494)"
"2400 West Marquette Road","WB",,,"11/29/2008","41.77203","-87.68299","(41.77203, -87.68299)"
"1200 N. HALSTED","NB",,,"04/05/2004","41.90335","-87.64802","(41.90335, -87.64802)"
"6400 W. Irving Pk","WB",,,"10/13/2004","41.95301","-87.78627","(41.95301, -87.78627)"
"9500 South Halsted Street","NB",,,"04/28/2008","41.72126","-87.64299","(41.72126, -87.64299)"
"400 North Central Avenue","SB",,,"07/15/2009","41.88794","-87.76513","(41.88794, -87.76513)"
"1200 North Pulaski Road","SB",,,"07/21/2009","41.9029","-87.72635","(41.9029, -87.72635)"
"2200 South Western Avenue","SB",,,"12/27/2009","41.85273","-87.68579","(41.85273, -87.68579)"
"6400 W. Foster","WB",,,"10/13/2004","41.9757","-87.78743","(41.9757, -87.78743)"
"7200 West Belmont Ave","WB",,,"06/17/2007","41.93807","-87.80636","(41.93807, -87.80636)"
"4700 West Irving Park Road","EB",,,"10/19/2008","41.95334","-87.7451","(41.95334, -87.7451)"
"2800 West Diversey","EB",,,"01/30/2006","41.93207","-87.698","(41.93207, -87.698)"
"6400 West Devon Avenue","WB",,,"02/27/2009","41.99739","-87.78737","(41.99739, -87.78737)"
"4700 South Kedzie Ave","NB",,,"03/28/2008","41.80782","-87.70386","(41.80782, -87.70386)"
"100 North Cicero Avenue","SB",,,"06/13/2008","41.88148","-87.74521","(41.88148, -87.74521)"
"3500 S. Western","NB",,,"10/09/2004","41.83","-87.6849","(41.83, -87.6849)"
"3200 West 31st Street","WB",,,"05/22/2008","41.83732","-87.70445","(41.83732, -87.70445)"
"1600 West Irving Park Road","EB",,,"08/25/2008","41.95419","-87.6695","(41.95419, -87.6695)"
"4000 W. Cermak","WB",,,"10/10/2004","41.85172","-87.72434","(41.85172, -87.72434)"
"4400 North Milwaukee Avenue","SB",,,"03/09/2010","41.96043","-87.75419","(41.96043, -87.75419)"
"5600 West Addison Street","EB",,,"11/14/2010","41.94582","-87.76717","(41.94582, -87.76717)"
"4000 North Ashland Avenue","NB",,,"08/24/2008","41.95401","-87.66889","(41.95401, -87.66889)"
"11100 South Halsted St","SB",,,"12/30/2005","41.69259","-87.64251","(41.69259, -87.64251)"
"800 North Pulaski Road","SB",,,"02/18/2010","41.89562","-87.7261","(41.89562, -87.7261)"
"4800 West Armitage Avenue","EB",,,"11/13/2008","41.91687","-87.74654","(41.91687, -87.74654)"
"6300 South Western Ave","NB",,,"11/10/2007","41.77893","-87.68351","(41.77893, -87.68351)"
"4800 W North Avenue","WB",,,"05/30/2008","41.90972","-87.74573","(41.90972, -87.74573)"
"800 West 99th St","EB",,,"12/31/2005","41.714","-87.64329","(41.714, -87.64329)"
"800 West 119th Street","WB",,,"11/01/2004","41.67786","-87.64154","(41.67786, -87.64154)"
"0 North Hamlin Boulevard","NB",,,"04/28/2009","41.8805","-87.72058","(41.8805, -87.72058)"
"2800 West Irving Park Road","WB",,,"08/24/2008","41.95409","-87.69779","(41.95409, -87.69779)"
"1 East 63rd St","WB",,,"01/17/2006","41.78008","-87.62507","(41.78008, -87.62507)"
"7900 South Halsted Street","SB",,,"04/28/2008","41.75044","-87.64395","(41.75044, -87.64395)"
"400 East 31st Street","EB",,,"06/21/2008","41.83835","-87.61806","(41.83835, -87.61806)"
"5200 W Fullerton Avenue","WB",,,"06/27/2008","41.92421","-87.75571","(41.92421, -87.75571)"
"4800 North Ashland Avenue","SB",,,"08/25/2008","41.96914","-87.66957","(41.96914, -87.66957)"
"2400 W 55th Street","EB",,,"05/07/2008","41.79378","-87.68451","(41.79378, -87.68451)"
"3600 N Austin Avenue","NB",,,"06/26/2008","41.94599","-87.77642","(41.94599, -87.77642)"
"4000 North Elston Avenue","SB",,,"08/10/2009","41.95405","-87.71979","(41.95405, -87.71979)"
"8700 South Ashland Ave","SB",,,"03/29/2007","41.73609","-87.66307","(41.73609, -87.66307)"
"9500 South Ashland Avenue","SB",,,"06/24/2009","41.72157","-87.66285","(41.72157, -87.66285)"
"800 North Cicero Avenue","NB",,,"10/03/2007","41.89484","-87.74573","(41.89484, -87.74573)"
"2400 North Clark St","SB",,,"06/26/2007","41.92575","-87.64063","(41.92575, -87.64063)"
"2800 N Damen Avenue","SB",,,"06/28/2008","41.93248","-87.67814","(41.93248, -87.67814)"
"400 South Western Avenue","SB",,,"05/27/2008","41.87651","-87.68647","(41.87651, -87.68647)"
"4200 South Cicero Avenue","SB",,,"04/28/2009","41.81737","-87.7436","(41.81737, -87.7436)"
